Scrape Date,Brand,Model,Name,Processor,RAM Size (GB),Storage,OS,Display Size (inch),Price (INR),Product_URL
20250618-231725,Huawei,MateBook Fold Laptop (32GB/ 2TB SSD/ HarmonyOS 5),Huawei MateBook Fold Laptop (32GB/ 2TB SSD/ HarmonyOS 5),,32.0,,,18.0,319930,https://www.smartprix.com/laptops/huawei-matebook-fold-laptop-32gb-2tb-ssd-ppd1ii5skii8
20250618-231725,Lenovo,V15 G4 83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo V15 G4 83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 7,,512 GB SSD,Windows 11,15.6,42954,https://www.smartprix.com/laptops/lenovo-v15-g4-83cr000vin-laptop-amd-ryzen-ppd1i8tlnr1c
20250618-231725,Dell,Latitude 13 7390 Laptop (8th Gen Ci7/ 8GB/ 256GB SSD/ Win10),Dell Latitude 13 7390 Laptop (8th Gen Ci7/ 8GB/ 256GB SSD/ Win10),Intel Core i7,,256 GB SSD,Windows 10,13.3,21995,https://www.smartprix.com/laptops/dell-latitude-13-7390-laptop-8th-gen-ci7-ppd1yeqvly0s
20250618-231725,HP,Victus 15-fa1319TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX 4050),HP Victus 15-fa1319TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX 4050),Intel Core i5,,512 GB SSD,Windows 11,15.6,68841,https://www.smartprix.com/laptops/hp-victus-15-fa1319tx-gaming-laptop-13th-ppd1dcbv7dyc
20250618-231725,Lenovo,LOQ 15IAX9 83LK0068IN Gaming Laptop (12th Gen Core i7/ 12GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Lenovo LOQ 15IAX9 83LK0068IN Gaming Laptop (12th Gen Core i7/ 12GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Intel Core i7,,512 GB SSD,Windows 11,15.6,73990,https://www.smartprix.com/laptops/lenovo-loq-15iax9-83lk0068in-gaming-laptop-ppd1i2reyl9s
20250618-231725,Asus,Vivobook 15 X1504VA-NJ3321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Asus Vivobook 15 X1504VA-NJ3321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Intel Core i5,,512 GB SSD,Windows 11,15.6,38990,https://www.smartprix.com/laptops/asus-vivobook-15-x1504va-nj3321ws-laptop-ppd1zuqvoeak
20250618-231725,Apple,MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),"Apple M4
10",16.0,256 GB SSD,Mac OS,13.6,91990,https://www.smartprix.com/laptops/apple-macbook-air-2025-laptop-apple-m4-16gb-256gb-ppd1nk44kl44
20250618-231725,HP,255 G10 Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11),HP 255 G10 Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11),AMD Ryzen 5,,512 GB SSD,Windows 11,15.6,27890,https://www.smartprix.com/laptops/hp-255-g10-laptop-amd-ryzen-5-7520u-8gb-512gb-ppd1a273vqzv
20250618-231725,Asus,Vivobook 16 X1605ZAC-MB540WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Asus Vivobook 16 X1605ZAC-MB540WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Intel Core i5,,512 GB SSD,Windows 11,16.0,45814,https://www.smartprix.com/laptops/asus-vivobook-16-x1605zac-mb540ws-laptop-ppd1gco143a6
20250618-231725,Asus,Vivobook 16X K3605ZF-RP458WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX2050),Asus Vivobook 16X K3605ZF-RP458WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX2050),Intel Core i5,,512 GB SSD,Windows 11,16.0,57990,https://www.smartprix.com/laptops/asus-vivobook-16x-k3605zf-rp458ws-laptop-ppd1922xd7gd
20250618-231725,Samsung,Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11),Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11),Intel Core i3,,512 GB SSD,Windows 11,15.6,38990,https://www.smartprix.com/laptops/samsung-galaxy-book-4-np750xgj-lg4in-laptop-ppd1fpu0qfmv
20250618-231725,Asus,TUF Gaming A15 FA566NCR-HN117W Laptop (AMD Ryzen 7 7435HS/ 16GB / 1TB SSD/ Win11 Home / 4GB Graph),Asus TUF Gaming A15 FA566NCR-HN117W Laptop (AMD Ryzen 7 7435HS/ 16GB / 1TB SSD/ Win11 Home / 4GB Graph),AMD Ryzen 7,,,Windows 11,15.6,68990,https://www.smartprix.com/laptops/asus-tuf-gaming-a15-fa566ncr-hn117w-laptop-ppd1l4u8ckcq
20250618-231725,Acer,Aspire 7 A715-76G NH.QMYSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer Aspire 7 A715-76G NH.QMYSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Intel Core i5,,512 GB SSD,Windows 11,15.6,43999,https://www.smartprix.com/laptops/acer-aspire-7-a715-76g-nh-qmysi-001-gaming-ppd1p4a3qo0x
20250618-231725,HP,Omen 16-wf1096TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),HP Omen 16-wf1096TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),Intel Core i7,,,Windows 11,16.1,119990,https://www.smartprix.com/laptops/hp-omen-16-wf1096tx-gaming-laptop-14th-gen-ppd1cp1461g1
20250618-231725,Lenovo,IdeaPad Slim 3 83EM00GTIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Lenovo IdeaPad Slim 3 83EM00GTIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Intel Core i7,,512 GB SSD,Windows 11,15.6,54816,https://www.smartprix.com/laptops/lenovo-ideapad-slim-3-83em00gtin-laptop-13th-ppd1isilikv5
20250618-231725,Lenovo,LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Intel Core i5,,512 GB SSD,Windows 11,15.6,74389,https://www.smartprix.com/laptops/lenovo-loq-2024-83gs003vin-gaming-laptop-ppd1aw3uxaga
20250618-231725,HP,Victus 15-fb3009AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),HP Victus 15-fb3009AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),AMD Ryzen 5,,512 GB SSD,Windows 11,15.6,67990,https://www.smartprix.com/laptops/hp-victus-15-fb3009ax-gaming-laptop-amd-ryzen-ppd19mpry3l9
20250618-231725,Asus,TUF Gaming A16 Advantage Edition FA617NSR-RL083W Gaming Laptop (AMD Ryzen 7 7435HS/ 16GB/ 512GB SSD/ Win11 Home/ AMD Radeon RTX 7600S),Asus TUF Gaming A16 Advantage Edition FA617NSR-RL083W Gaming Laptop (AMD Ryzen 7 7435HS/ 16GB/ 512GB SSD/ Win11 Home/ AMD Radeon RTX 7600S),AMD Ryzen 7,,512 GB SSD,Windows 11,16.0,79990,https://www.smartprix.com/laptops/asus-tuf-gaming-a16-advantage-edition-fa617nsr-ppd1jky1472n
20250618-231725,Asus,ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),Asus ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),Intel Core Ultra,,,Windows 11,18.0,449990,https://www.smartprix.com/laptops/asus-rog-strix-scar-18-2025-g835lx-sa187ws-ppd16drm2cnz
20250618-231725,Lenovo,V15 G4 82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo V15 G4 82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5,,512 GB SSD,Windows 11,15.6,35490,https://www.smartprix.com/laptops/lenovo-v15-g4-82c70081ge-laptop-amd-ryzen-ppd1vp1h3lwa
20250618-231725,Apple,MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),,,,,,91990,https://www.smartprix.com/laptops/apple-macbook-air-2025-laptop-apple-m4-16gb-256gb-ppd1nk44kl44
20250618-231725,Lenovo,Yoga Book 9 83FF0034IN Laptop (Intel Evo Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),Lenovo Yoga Book 9 83FF0034IN Laptop (Intel Evo Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),,,,,,239990,https://www.smartprix.com/laptops/lenovo-yoga-book-9-83ff0034in-laptop-intel-ppd1ww9wtkf8
20250618-231725,Asus,ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),Asus ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),,,,,,449990,https://www.smartprix.com/laptops/asus-rog-strix-scar-18-2025-g835lx-sa187ws-ppd16drm2cnz
20250618-231725,Lenovo,V15 G4 83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo V15 G4 83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),,,,,,42954,https://www.smartprix.com/laptops/lenovo-v15-g4-83cr000vin-laptop-amd-ryzen-ppd1i8tlnr1c
20250618-231725,Dell,Latitude 13 7390 Laptop (8th Gen Ci7/ 8GB/ 256GB SSD/ Win10),Dell Latitude 13 7390 Laptop (8th Gen Ci7/ 8GB/ 256GB SSD/ Win10),,,,,,21995,https://www.smartprix.com/laptops/dell-latitude-13-7390-laptop-8th-gen-ci7-ppd1yeqvly0s
20250618-231725,HP,Victus 15-fa1319TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX 4050),HP Victus 15-fa1319TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX 4050),,,,,,68841,https://www.smartprix.com/laptops/hp-victus-15-fa1319tx-gaming-laptop-13th-ppd1dcbv7dyc
20250618-231725,Lenovo,LOQ 15IAX9 83LK0068IN Gaming Laptop (12th Gen Core i7/ 12GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Lenovo LOQ 15IAX9 83LK0068IN Gaming Laptop (12th Gen Core i7/ 12GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),,,,,,73990,https://www.smartprix.com/laptops/lenovo-loq-15iax9-83lk0068in-gaming-laptop-ppd1i2reyl9s
20250618-231725,Asus,Vivobook 15 X1504VA-NJ3321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Asus Vivobook 15 X1504VA-NJ3321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),,,,,,38990,https://www.smartprix.com/laptops/asus-vivobook-15-x1504va-nj3321ws-laptop-ppd1zuqvoeak
