Name,Specs,Price,Processor,RAM Size (GB),RAM Type,Storage SSD (GB),Storage HDD (GB),Storage Type,GPU,VRAM (GB),OS,Display Size (inch)
HP Victus 16-D0314TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"11th Gen Intel Core i5 11400H
Hexa Core, 12 Threads
16 GB DDR4 RAM
512 GB SSD
4 GB NVIDIA GeForce GTX 1650
16.1 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹50,490","Intel Core i5 11400H
Hexa Core",16.0,DDR4,512.0,,SSD,GTX 1650,,Windows 11,16.1
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 512GB SSD/ MacOS),"Apple M2
Octa Core
8 GB Unified Memory RAM
512 GB SSD
10-Core GPU
13.6 inches, 2560 x 1664 pixels
Mac OS
1 Year Warranty","₹74,990","Apple M2
Octa Core
8 GB Unified Memory RAM
512 GB SSD
10-Core GPU
13.6 inches",,,512.0,,SSD,,,Mac OS,13.6
Lenovo LOQ 15IRX9 83DV00B8IN Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 4060),"14th Gen Intel Core i7 14700HX
20 Cores (8P + 12E), 28 Threads
16 GB DDR5 RAM
1 TB SSD
8 GB NVIDIA GeForce RTX 4060
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹1,14,990","Intel Core i7 14700HX
20 Cores (8P + 12E)",16.0,DDR5,1024.0,,SSD,RTX 4060,,Windows 11,15.6
Asus TUF Gaming F16 FX608JMR-RV049WS Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 5060-8GB Graphics),"14th Gen Intel Core i7 14650HX
16 Cores (8P + 8E), 24 Threads
16 GB DDR5 RAM
1 TB SSD
8 GB NVIDIA GeForce RTX 5060
16 inches, 1920 x 1200 pixels
Windows 11 OS
1 Year Warranty","₹1,44,990","Intel Core i7 14650HX
16 Cores (8P + 8E)",16.0,DDR5,1024.0,,SSD,RTX 5060,,Windows 11,16.0
Lenovo V15 G4 83CQ000XIN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),"7th Gen AMD Ryzen 3 7320U
Quad Core, 8 Threads
8 GB LPDDR5 RAM
512 GB SSD
Integrated AMD Radeon
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹26,990","AMD Ryzen 3 7320U
Quad Core",8.0,LPDDR5,512.0,,SSD,"Radeon
15",,Windows 11,15.6
HP 15-fd0467TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"13th Gen Intel Core i5 1334U
10 Cores (2P + 8E), 12 Threads
16 GB DDR4 RAM
512 GB SSD
Intel Iris Xe Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹56,990","Intel Core i5 1334U
10 Cores (2P + 8E)",16.0,DDR4,512.0,,SSD,Intel Iris Xe,,Windows 11,15.6
Dell Latitude 3440 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 ),"12th Gen Intel Core i3 1215U
Hexa Core (2P + 4E), 8 Threads
8 GB DDR4 RAM
512 GB SSD
Intel Graphics
14 inches, 1366 x 768 pixels
Windows 11 OS
1 Year Warranty","₹27,411","Intel Core i3 1215U
Hexa Core (2P + 4E)",8.0,DDR4,512.0,,SSD,"Graphics
14",,Windows 11,14.0
Lenovo LOQ 2024 83GS003NIN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 3050 Graph),"12th Gen Intel Core i5 12450HX
Octa Core (4P + 4E), 12 Threads
16 GB DDR5 RAM
512 GB SSD
6 GB NVIDIA GeForce RTX 3050
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹65,990","Intel Core i5 12450HX
Octa Core (4P + 4E)",16.0,DDR5,512.0,,SSD,RTX 3050,,Windows 11,15.6
Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),"13th Gen Intel Core i9 13900H
14 Cores (6P + 8E), 20 Threads
32 GB LPDDR5X RAM
1 TB SSD
Intel Integrated Iris Xe
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹58,990","Intel Core i9 13900H
14 Cores (6P + 8E)",,LPDDR5,1024.0,,SSD,,,Windows 11,15.6
Asus ROG Strix G16 G615LM-S5128WS Gaming Laptop (Intel Core Ultra 9 275HX / 16GB/ 1TB SSD/ Win11/ 8GB RTX 5060 Graphics),"Intel Core Ultra 9 275HX
24 Cores (8P + 16E), 24 Threads
16 GB DDR5 RAM
1 TB SSD
8 GB NVIDIA GeForce RTX 5060
16 inches, 2560 x 1600 pixels
Windows 11 OS
1 Year Warranty","₹1,89,990","Intel Core Ultra 9 275HX
24 Cores (8P + 16E)",16.0,DDR5,1024.0,,SSD,RTX 5060,,Windows 11,16.0
Asus Expertbook P1 P1503CVA-S71074WS Laptop (13th Gen Core i3/ 16GB/ 512GB/ Win11),"13th Gen Intel Core i3 1315U
Hexa Core (2P + 4E), 8 Threads
16 GB DDR5 RAM
512 GB SSD
Intel Integrated UHD
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹41,990","Intel Core i3 1315U
Hexa Core (2P + 4E)",16.0,DDR5,512.0,,SSD,,,Windows 11,15.6
Asus Vivobook 14 2025 X1407CA-LY102WS Laptop (Intel Core Ultra 5 225H/ 16GB/ 512GB SSD/ Win11),"Intel Core Ultra 5 225H
14 Cores (4P + 8E + 2LP-E), 14 Threads
16 GB DDR5 RAM
512 GB SSD
Intel Integrated Arc
14 inches, 1920 x 1200 pixels
Windows 11 OS
1 Year Warranty","₹73,990","Intel Core Ultra 5 225H
14 Cores (4P + 8E + 2LP-E)",16.0,DDR5,512.0,,SSD,,,Windows 11,14.0
Asus Zenbook 14 OLED 2025 UX3405CA-PZ164WS Laptop (Intel Core Ultra 9 285H/ 32GB/ 1TB SSD/ Win11 Home),"Intel Core Ultra 9 285H
16 Cores (6P + 8E + 2LP-E), 16 Threads
32 GB LPDDR5X RAM
1 TB SSD
Intel Integrated Arc
14 inches, 2880 x 1800 pixels, Touch Screen
Windows 11 OS
1 Year Warranty","₹1,42,990","Intel Core Ultra 9 285H
16 Cores (6P + 8E + 2LP-E)",,LPDDR5,1024.0,,SSD,,,Windows 11,14.0
AGB Octev GA-9090 Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win 11/ 2GB Graph),"11th Gen Intel Core i7 1165G7
Quad Core, 8 Threads
16 GB DDR4 RAM
512 GB SSD
2 GB NVIDIA Geforce MX450
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹30,000","Intel Core i7 1165G7
Quad Core",16.0,DDR4,512.0,,SSD,,,Windows 11,15.6
Asus Vivobook 14 2025 S3407CA-LY057WS Laptop (Intel Core Ultra 5 225H/ 16GB/ 512GB SSD/ Win11),"Intel Core Ultra 5 225H
14 Cores (4P + 8E + 2LP-E), 14 Threads
16 GB DDR5 RAM
512 GB SSD
Intel Integrated UHD
14 inches, 1920 x 1200 pixels
Windows 11 OS
1 Year Warranty","₹80,990","Intel Core Ultra 5 225H
14 Cores (4P + 8E + 2LP-E)",16.0,DDR5,512.0,,SSD,,,Windows 11,14.0
Asus TUF Gaming A15 FA507NVR-LP104WS Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11/ 8GB Graph),"7th Gen AMD Ryzen 7 7435HS
Octa Core, 16 Threads
16 GB DDR5 RAM
512 GB SSD
8 GB NVIDIA GeForce RTX 4060
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹98,870","AMD Ryzen 7 7435HS
Octa Core",16.0,DDR5,512.0,,SSD,RTX 4060,,Windows 11,15.6
Dell 15 Vostro 3520 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"12th Gen Intel Core i3 1215U
Hexa Core (2P + 4E), 8 Threads
8 GB DDR4 RAM
512 GB SSD
Intel Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹32,990","Intel Core i3 1215U
Hexa Core (2P + 4E)",8.0,DDR4,512.0,,SSD,"Graphics
15",,Windows 11,15.6
Lenovo LOQ 15IRX9 83DV00BEIN Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 4060),"14th Gen Intel Core i7 14700HX
20 Cores (8P + 12E), 28 Threads
16 GB DDR5 RAM
1 TB SSD
8 GB NVIDIA GeForce RTX 4060
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹1,14,990","Intel Core i7 14700HX
20 Cores (8P + 12E)",16.0,DDR5,1024.0,,SSD,RTX 4060,,Windows 11,15.6
Samsung Galaxy Book 4 np750xgj-kg2in Laptop (13th Gen Intel Core i5-1335U/ 16GB/ 512GB SSD/ Win11),"13th Gen Intel Core i5 1335U
10 Cores (2P + 8E), 12 Threads
16 GB LPDDR4x RAM
512 GB SSD
Intel Iris Xe Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹55,395","Intel Core i5 1335U
10 Cores (2P + 8E)",,LPDDR4,512.0,,SSD,Intel Iris Xe,,Windows 11,15.6
Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),"14th Gen Intel Core i9 14900HX
24 Cores (8P + 16E), 32 Threads
16 GB DDR5 RAM
1 TB SSD
8 GB NVIDIA GeForce RTX 4060
16.1 inches, 2560 x 1600 pixels
Windows 11 OS
1 Year Warranty","₹1,02,990","Intel Core i9 14900HX
24 Cores (8P + 16E)",16.0,DDR5,1024.0,,SSD,RTX 4060,,Windows 11,16.1
Asus Vivobook 14 S3407CA-LY084WS Laptop (Intel Core Ultra 7 255H/ 16GB/ 512GB SSD/ Win11),"Intel Core Ultra 7 255H
16 Cores (6P + 8E + 2LP-E), 16 Threads
16 GB DDR5 RAM
512 GB SSD
Intel Integrated Intel
14 inches, 1920 x 1200 pixels
Windows 11 OS
1 Year Warranty","₹90,990","Intel Core Ultra 7 255H
16 Cores (6P + 8E + 2LP-E)",16.0,DDR5,512.0,,SSD,,,Windows 11,14.0
Acer Swift Neo OLED AI SFN14-54H Laptop (Intel Core Ultra 5 115U/ 16GB/ 512GB SSD/Win 11),"Intel Core Ultra 5 115U
Octa Core (2P + 4E + 2LP-E), 10 Threads
16 GB LPDDR5 RAM
512 GB SSD
Intel Integrated Arc
14 inches, 1920 x 1200 pixels
Windows 11 OS
1 Year Warranty","₹57,990","Intel Core Ultra 5 115U
Octa Core (2P + 4E + 2LP-E)",16.0,LPDDR5,512.0,,SSD,,,Windows 11,14.0
Asus Expertbook P1 14 P1403CVA-S60938WS Laptop (13th Gen Core i3/ 16GB/ 512GB/ Win11),"13th Gen Intel Core i3 1315U
Hexa Core (2P + 4E), 8 Threads
16 GB DDR5 RAM
512 GB SSD
Intel Integrated UHD
14 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹38,990","Intel Core i3 1315U
Hexa Core (2P + 4E)",16.0,DDR5,512.0,,SSD,,,Windows 11,14.0
Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 512GB SSD/ MacOS/ 10-Core GPU),"Apple M4
10 Cores (4P + 6E)
16 GB RAM
512 GB SSD
Apple 10 Core GPU
13.6 inches, 2560 x 1664 pixels
Mac OS
1 Year Warranty","₹1,19,900","Apple M4
10 Cores (4P + 6E)
16 GB RAM
512 GB SSD
Apple 10 Core GPU
13.6 inches",16.0,,512.0,,SSD,,,Mac OS,13.6
Dell Inspiron 15 3535 Laptop (AMD Ryzen R5-7530U/ 16GB/ 512GB SSD/ Win11),"7th Gen AMD Ryzen 5 7530U
Hexa Core, 12 Threads
16 GB RAM
512 GB SSD
AMD Radeon Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹42,838","AMD Ryzen 5 7530U
Hexa Core",16.0,,512.0,,SSD,Radeon Graphics,,Windows 11,15.6
Acer Aspire 3 A311-45 UN.354SI.006 Laptop (Intel Celeron N4500/ 8GB/ 128GB SSD/ Win11),"Intel Celeron N4500
Dual Core, 2 Threads
8 GB DDR4 RAM
128 GB SSD
Intel Integrated UHD
11.6 inches, 1366 x 768 pixels
Windows 11 OS
1 Year Warranty","₹15,990","Intel Celeron N4500
Dual Core",8.0,DDR4,128.0,,SSD,,,Windows 11,11.6
Lenovo LOQ 15ARP9 83JC00EHIN Gaming Laptop (AMD Ryzen 7 7435H/ 24GB/ 512GB SSD/ Win11/ 8GB RTX 4060 Graph),"7th Gen AMD Ryzen 7 7435HS
Octa Core, 16 Threads
24 GB DDR5 RAM
512 GB SSD
8 GB NVIDIA GeForce RTX 4060
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹91,990","AMD Ryzen 7 7435HS
Octa Core",24.0,DDR5,512.0,,SSD,RTX 4060,,Windows 11,15.6
Lenovo ThinkBook 16 G6 21KKA0G1IN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),"7th Gen AMD Ryzen 7 7730U
Octa Core, 16 Threads
16 GB DDR4 RAM
512 GB SSD
AMD Radeon Graphics
16 inches, 1920 x 1200 pixels
Windows 11 OS
1 Year Warranty","₹52,990","AMD Ryzen 7 7730U
Octa Core",16.0,DDR4,512.0,,SSD,Radeon Graphics,,Windows 11,16.0
Acer ALG AL15G-53 Gaming Laptop (13th Gen Intel Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 3050 Graphics),"13th Gen Intel Core i7 13620H
10 Cores (6P + 4E), 16 Threads
16 GB DDR4 RAM
512 GB SSD
6 GB NVIDIA GeForce RTX 3050
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹66,291","Intel Core i7 13620H
10 Cores (6P + 4E)",16.0,DDR4,512.0,,SSD,RTX 3050,,Windows 11,15.6
MSI Stealth 18 AI Studio A1VIG-022IN Gaming Laptop (Intel Core Ultra 9 185H/ 32GB/ 2TB SSD/ Win11 Home/ 16GB RTX 4090 Graph),"Intel Core Ultra 9 Series 1 185H
16 Cores (6P + 8E + 2LP-E), 22 Threads
32 GB DDR5 RAM
2 TB SSD
16 GB NVIDIA GeForce RTX 4090
18 inches, 3840 x 2400 pixels
Windows 11 OS
2 Year Warranty","₹2,59,990","Intel Core Ultra 9 Series 1 185H
16 Cores (6P + 8E + 2LP-E)",32.0,DDR5,2048.0,,SSD,RTX 4090,,Windows 11,18.0
Dell Inspiron 15 3530 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"13th Gen Intel Core i3 1305U
5 Cores (1P + 4E), 6 Threads
8 GB DDR4 RAM
512 GB SSD
Intel Integrated UHD
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹34,711","Intel Core i3 1305U
5 Cores (1P + 4E)",8.0,DDR4,512.0,,SSD,,,Windows 11,15.6
Acer 15 Travel Lite TL15-53M Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),"13th Gen Intel Core i3
16 GB RAM
512 GB SSD
Intel Iris Xe Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty
Backlit Keyboard","₹36,990","Intel Core i3
16 GB RAM
512 GB SSD
Intel Iris Xe Graphics
15.6 inches",16.0,,512.0,,SSD,Intel Iris Xe,,Windows 11,15.6
Lenovo 100e Chromebook Gen 4 82W00004HA Laptop (MediaTek Kompanio 520/ 4GB/ 32GB EMMC/ Chrome OS),"MediaTek Kompanio 520 520
4 GB LPDDR4X RAM
32 GB eMMC Storage
MediaTek Integrated Arm Mali-G52
11.6 inches, 1366 x 768 pixels
Chrome OS
1 Year Warranty
2 USB 3.0 Ports","₹9,499",,,LPDDR4,,,eMMC,,,,11.6
Lenovo LOQ 15IRX9 83DV00X8IN Gaming Laptop (13th Gen Core i7/ 24GB/ 512GB SSD/ Win11/ 8GB RTX4060),"13th Gen Intel Core i7 13650HX
14 Cores (6P + 8E)
24 GB DDR5 RAM
512 GB SSD
8 GB NVIDIA GeForce RTX 4060
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹1,00,490","Intel Core i7 13650HX
14 Cores (6P + 8E)
24 GB DDR5 RAM
512 GB SSD
8 GB NVIDIA GeForce RTX 4060
15.6 inches",24.0,DDR5,512.0,,SSD,RTX 4060,,Windows 11,15.6
HP 255 G10 B1FW9PT Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11),"7th Gen AMD Ryzen 3 7320U
Quad Core, 8 Threads
8 GB DDR4 RAM
512 GB SSD
AMD Radeon Graphics
15.6 inches, 1366 x 768 pixels
Windows 11 OS
1 Year Warranty","₹25,290","AMD Ryzen 3 7320U
Quad Core",8.0,DDR4,512.0,,SSD,Radeon Graphics,,Windows 11,15.6
HP 15-fc1004AU Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home),"7th Gen AMD Ryzen 5 7535HS
Hexa Core, 12 Threads
8 GB DDR5 RAM
512 GB SSD
AMD Radeon AMD
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹42,990","AMD Ryzen 5 7535HS
Hexa Core",8.0,DDR5,512.0,,SSD,Radeon AMD,,Windows 11,15.6
Gigabyte G5 MF5-H2IN354SH Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"13th Gen Intel Core i7 13620H
10 Cores (6P + 4E), 16 Threads
16 GB DDR5 RAM
1 TB SSD
6 GB NVIDIA GeForce RTX 4050
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
2 Year Warranty","₹77,490","Intel Core i7 13620H
10 Cores (6P + 4E)",16.0,DDR5,1024.0,,SSD,RTX 4050,,Windows 11,15.6
Acer 15 Aspire Lite AL15-41 Laptop (AMD Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11),"5th Gen AMD Ryzen 5 5625U
Hexa Core, 12 Threads
16 GB DDR4 RAM
512 GB SSD
AMD Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹34,490","AMD Ryzen 5 5625U
Hexa Core",16.0,DDR4,512.0,,SSD,"Graphics
15",,Windows 11,15.6
HP Pavilion 16-af0056TU Laptop (Intel Core Ultra 5 125U/ 16GB/ 1TB SSD/ Win11),"Intel Core Ultra 5 125U
12 Cores (2P + 8E + 2LP-E), 14 Threads
16 GB LPDDR5 RAM
1 TB SSD
Intel Integrated Graphics
16 inches, 1920 x 1200 pixels
Windows 11 OS
1 Year Warranty","₹61,990","Intel Core Ultra 5 125U
12 Cores (2P + 8E + 2LP-E)",16.0,LPDDR5,1024.0,,SSD,"Graphics
16",,Windows 11,16.0
Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),N/A,"₹91,990",,,,,,,,,,
Lenovo Yoga Book 9 83FF0034IN Laptop (Intel Evo Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),N/A,"₹2,39,990",,,,,,,,,,
Asus ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),N/A,"₹4,49,990",,,,,,,,,,
Lenovo V15 G4 83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),N/A,"₹42,954",,,,,,,,,,
Dell Latitude 13 7390 Laptop (8th Gen Ci7/ 8GB/ 256GB SSD/ Win10),N/A,"₹21,995",,,,,,,,,,
HP Victus 15-fa1319TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX 4050),N/A,"₹68,841",,,,,,,,,,
Lenovo LOQ 15IAX9 83LK0068IN Gaming Laptop (12th Gen Core i7/ 12GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),N/A,"₹73,990",,,,,,,,,,
Asus Vivobook 15 X1504VA-NJ3321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),N/A,"₹38,990",,,,,,,,,,
